的	的	的	de5	de	(possessive, modifying, or descriptive particle) | bull's eye | in reality	0
一	一	一	yi1	yī	one; once; a (article) (Kangxi radical 1)	0
是	是	是	shi4	shì	be; is; are; am	0
不	不	不	bu4	bù	no; not	0
了	了	了	le5	le	(particle for a new situation or completed action)	0
人	人	人	ren2	rén	person; man; people (Kangxi radical 9)	0
我	我	我	wo3	wǒ	I; me	0
在	在	在	zai4	zài	at; on; in; exist; (indicating an action in progress)	0
有	有	有	you3	yǒu	have; there is	0
他	他	他	ta1	tā	he; him	0
这	這	這	zhe4	zhè	this; these	0
中	?	?	?	?	?	0
大	大	大	da4	dà	big; large (Kangxi radical 37) | person of importance	0
来	來	來	lai2	lái	come; arrive; ever since; next	0
上	上	上	shang4	shàng	above; up; on top; get on; go up	0
國	?	?	?	?	?	0
个	個	個	ge5	ge	general measure word	0
到	到	到	dao4	dào	arrive (at a place); until (a time)	0
说	說	說	shuo1	shuō	speak; to say; to talk	0
們	?	?	?	?	?	0
为	為	為	wei4	wèi	for; because of; to; for the sake of	0
子	?	?	?	?	?	0
和	和	和	he2	hé	and; with; harmony	0
你	你	你	ni3	nǐ	you (singular)	0
地	地	地	di4, de5	dì, de	earth; ground | (adverbial particle)	0
出	出	出	chu1	chū	go out; occur	0
道	?	?	?	?	?	0
也	也	也	ye3	yě	also; too	0
時	?	?	?	?	?	0
年	年	年	nian2	nián	year	0
得	得	得	de	de	(complement particle)	0
就	就	就	jiu4	jiù	then; at once; just; only; with regard to	0
那	那	那	na4	nà	that; in that case; then	0
要	要	要	yao4	yào	to want; to need; will/shall; important	0
下	下	下	xia4	xià	descend; fall; below; down; next; the second (of two parts)	0
以	以	以	yi3	yǐ	to use; according to; so as to; for; by	0
生	?	?	?	?	?	0
会	會	會	hui4	huì	know how; be good at; be likely to	0
自	?	?	?	?	?	0
着	著	著	zhe5	zhe	-ing (indicating action in progress)	0
去	去	去	qu4	qù	go; to leave	0
之	之	之	zhi1	zhī	(literary equivalent to 的); (pronoun); of	0
过	過	過	guo4	guò	to pass; to cross; go over; (indicates a past experience)	0
家	家	家	jia1	jiā	family; home; household	0
學	?	?	?	?	?	0
对	對	對	dui4	duì	correct; a pair; to face; be opposite; to; towards	0
可	?	?	?	?	?	0
她	她	她	ta1	tā	she	0
里	裡	裡	li3	lǐ	inside; internal; village, Chinese mile (~.5 km); neighborhood (Kangxi radical 166)	0
后	?	?	?	?	?	0
小	小	小	xiao3	xiǎo	small; young (Kangxi radical 42)	0
麼	?	?	?	?	?	0
心	?	?	?	?	?	0
多	多	多	duo1	duō	many; much; a lot of; more than	0
天	?	?	?	?	?	0
而	而	而	er2	ér	and; but; yet; while (Kangxi radical 126)	0
能	能	能	neng2	néng	can; be able; capable; energy; ability	0
好	好	好	hao3	hǎo	good; well; nice; very; quite	0
都	都	都	dou1	dōu	all; both (if two things are involved) | capital; metropolis	0
然	?	?	?	?	?	0
沒	?	?	?	?	?	0
日	日	日	ri4	rì	sun; day; date; time (Kangxi radical 72)	0
於	?	?	?	?	?	0
起	?	?	?	?	?	0
还	還	還	hai2	hái	still; yet; in addition; even	0
发	發	發	fa1, fa4	fā, fà	send out; to issue; to show (one's feelings) | hair	0
成	?	?	?	?	?	0
事	?	?	?	?	?	0
只	只	只	zhi1, zhi3	zhī, zhǐ	but; only; merely; just | (mw for birds and certain animals)	0
作	?	?	?	?	?	0
当	當	當	dang1	dāng	should; act as; work as; manage; match; (sound of bells)	0
想	想	想	xiang3	xiǎng	think; believe; suppose; would like to; remember with longing; to miss	0
看	看	看	kan4	kàn	see; look at; to watch; regard	0
文	?	?	?	?	?	0
无	無	無	wu2	wú	have not; without; not (Kangxi radical 71)	0
开	開	開	kai1	kāi	to open; to start; to turn on; to operate (a vehicle)	0
手	?	?	?	?	?	0
十	十	十	shi2	shí	ten (Kangxi radical 24)	0
用	用	用	yong4	yòng	to use (Kangxi radical 101)	0
主	?	?	?	?	?	0
行	行	行	xing2	xíng	walk; be current; do; will do; okay	0
方	方	方	fang1	fāng	square; direction; side (Kangxi radical 70)	0
又	又	又	you4	yòu	(once) again; also; both (Kangxi radical 29)	0
如	?	?	?	?	?	0
前	?	?	?	?	?	0
所	所	所	suo3	suǒ	place; that which; (mw for houses, buildings)	0
本	本	本	ben3	běn	(mw for books); roots or stems of plants; origin; this	0
見	?	?	?	?	?	0
經	?	?	?	?	?	0
頭	?	?	?	?	?	0
面	?	?	?	?	?	0
公	?	?	?	?	?	0
同	?	?	?	?	?	0
三	三	三	san1	sān	three	0
已	?	?	?	?	?	0
老	老	老	lao3	lǎo	old; aged; tough; often (Kangxi radical 125)	0
从	從	從	cong2	cóng	from; obey; observe	0
動	?	?	?	?	?	0
两	兩	兩	liang3	liǎng	two; 2; both; (unit of weight equal to 50 grams)	0
长	長	長	chang2, zhang3	cháng, zhǎng	long; length | grow; chief (Kangxi radical 168)	0
知	?	?	?	?	?	0
民	?	?	?	?	?	0
樣	?	?	?	?	?	0
現	?	?	?	?	?	0
分	分	分	fen1, fen4	fēn, fèn	divide; part; minute; cent | component; share; ingredient	0
將	?	?	?	?	?	0
外	外	外	wai4	wài	outer; outside; in addition; foreign	0
但	?	?	?	?	?	0
身	?	?	?	?	?	0
些	些	些	xie1	xiē	some; few; several; (mw for indefinite amount)	0
与	與	與	yu3	yǔ	(formal) and; to give; together with; participate; final particle expressing doubt or surprise	0
高	高	高	gao1	gāo	high; tall (Kangxi radical 189)	0
意	?	?	?	?	?	0
进	進	進	jin4	jìn	enter; come in	0
把	把	把	ba3	bǎ	(mw for things with handles); (pretransitive particle); to hold	0
法	?	?	?	?	?	0
此	?	?	?	?	?	0
實	?	?	?	?	?	0
回	回	回	hui2	huí	to return; to reply; to go back; (mw for matters or actions)	0
二	二	二	er4	èr	two (Kangxi radical 7)	0
理	?	?	?	?	?	0
美	?	?	?	?	?	0
点	點	點	dian3	diǎn	a dot; a point; a bit; a little; o'clock	0
月	月	月	yue4	yuè	moon; month (Kangxi radical 74: moon | (Kangxi radical 130: flesh)	0
明	?	?	?	?	?	0
其	?	?	?	?	?	0
种	種	種	zhong3	zhǒng	type; breed; race; seed	0
聲	?	?	?	?	?	0
全	?	?	?	?	?	0
工	?	?	?	?	?	0
己	?	?	?	?	?	0
話	?	?	?	?	?	0
兒	?	?	?	?	?	0
者	?	?	?	?	?	0
向	向	向	xiang4	xiàng	direction; towards; to turn; to face	0
情	?	?	?	?	?	0
部	?	?	?	?	?	0
正	正	正	zheng4	zhèng	straight; currently; correct; just (right); pure; precisely	0
名	?	?	?	?	?	0
定	?	?	?	?	?	0
女	女	女	nv3	nǚ	woman; female (Kangxi radical 38)	0
问	問	問	wen4	wèn	ask; inquire	0
力	?	?	?	?	?	0
機	?	?	?	?	?	0
给	給	給	gei3	gěi	to give; to grant; (passive particle)	0
等	等	等	deng3	děng	to wait; rank; equal; etc.	0
几	幾	幾	ji3	jǐ	how many; several; a few | almost (Kangxi radical 16)	0
很	很	很	hen3	hěn	very; rather; quite; (adverb of degree)	0
業	?	?	?	?	?	0
最	最	最	zui4	zuì	the most; -est; (indicator for superlative)	0
間	?	?	?	?	?	0
新	新	新	xin1	xīn	new; Xinjiang autonomous region (abbreviation)	0
甚	?	?	?	?	?	0
打	?	?	?	?	?	0
便	便	便	bian4, pian2	biàn, pián	plain; convenient; excretion; formal equivalent to 就 | cheap	0
位	位	位	wei4	wèi	position; location; (polite mw for people)	0
因	?	?	?	?	?	0
重	重	重	zhong4	zhòng	heavy; serious; important	0
被	被	被	bei4	bèi	by (indicates passive voice sentences); a quilt/blanket	0
走	走	走	zou3	zǒu	to walk; to go; to move (Kangxi radical 156)	0
電	?	?	?	?	?	0
四	四	四	si4	sì	four	0
第	?	?	?	?	?	0
门	門	門	men2	mén	door; opening; gate (Kangxi radical 169)	0
相	?	?	?	?	?	0
次	次	次	ci4	cì	(mw for number of times of occurrence); nth; order	0
东	東	東	dong1	dōng	East	0
政	?	?	?	?	?	0
海	?	?	?	?	?	0
口	口	口	kou3	kǒu	mouth (Kangxi radical 30)	0
使	使	使	shi3	shǐ	to use; to make; to cause; enable; envoy; messenger	0
教	教	教	jiao1, jiao4	jiāo, jiào	teach; instruct | religion; teaching	0
西	西	西	xi1	xī	West (Kangxi radical 146)	0
再	再	再	zai4	zài	again; once more	0
平	平	平	ping2	píng	flat; level; equal; ordinary	0
真	真	真	zhen1	zhēn	real; true; genuine	0
听	聽	聽	ting1	tīng	listen; hear; heed	0
世	?	?	?	?	?	0
氣	?	?	?	?	?	0
信	?	?	?	?	?	0
北	?	?	?	?	?	0
少	少	少	shao3	shǎo	few; little; lack; lose	0
关	關	關	guan1	guān	to close; shut; concern; relationship; turn off; mountain pass	0
并	?	?	?	?	?	0
内	內	內	nei4	nèi	inside; inner; internal; within	0
加	?	?	?	?	?	0
化	?	?	?	?	?	0
由	由	由	you2	yóu	follow; from; by; through	0
却	卻	卻	que4	què	but; yet; however	0
代	?	?	?	?	?	0
軍	?	?	?	?	?	0
產	?	?	?	?	?	0
入	?	?	?	?	?	0
先	先	先	xian1	xiān	first; early; before	0
山	?	?	?	?	?	0
五	五	五	wu3	wǔ	five	0
太	太	太	tai4	tài	too (much); excessively; highest; greatest	0
水	水	水	shui3	shuǐ	water (Kangxi radical 85)	0
万	萬	萬	wan4	wàn	ten thousand	0
市	?	?	?	?	?	0
眼	?	?	?	?	?	0
體	?	?	?	?	?	0
别	別	別	bie2	bié	don't do something; don't | depart; | other; difference; distinguish	0
處	?	?	?	?	?	0
總	?	?	?	?	?	0
纔	?	?	?	?	?	0
场	場	場	chang3	chǎng	courtyard; place; field; (mw for games, performances, etc.)	0
師	?	?	?	?	?	0
书	書	書	shu1	shū	book; letter	0
比	比	比	bi3	bǐ	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks	0
住	住	住	zhu4	zhù	to live; reside; to stop	0
員	?	?	?	?	?	0
九	九	九	jiu3	jiǔ	nine	0
笑	笑	笑	xiao4	xiào	to laugh; to smile	0
性	?	?	?	?	?	0
通	?	?	?	?	?	0
目	?	?	?	?	?	0
華	?	?	?	?	?	0
報	?	?	?	?	?	0
立	?	?	?	?	?	0
马	馬	馬	ma3	mǎ	horse (Kangxi radical 187)	0
命	?	?	?	?	?	0
张	張	張	zhang1	zhāng	(mw for flat objects); to spread out; (common surname)	0
活	?	?	?	?	?	0
难	難	難	nan2	nán	difficult	0
神	?	?	?	?	?	0
数	數	數	shu4, shu3	shù, shǔ	number | to count; to rank	0
件	件	件	jian4	jiàn	(mw for things, clothes, and items)	0
安	?	?	?	?	?	0
表	?	?	?	?	?	0
原	?	?	?	?	?	0
車	?	?	?	?	?	0
白	白	白	bai2	bái	white; snowy; pure; bright; empty (Kangxi radical 106)	0
應	?	?	?	?	?	0
路	路	路	lu4	lù	road; path; journey; route	0
期	?	?	?	?	?	0
叫	叫	叫	jiao4	jiào	to call; called; to yell	0
死	死	死	si3	sǐ	to die; dead; fixed; impassible; extremely	0
常	?	?	?	?	?	0
提	提	提	ti2	tí	to carry; to lift; to raise (an issue)	0
感	?	?	?	?	?	0
金	?	?	?	?	?	0
何	?	?	?	?	?	0
更	更	更	geng4	gèng	more; even more	0
反	?	?	?	?	?	0
合	?	?	?	?	?	0
放	放	放	fang4	fàng	put; to place; to release; to free	0
做	做	做	zuo4	zuò	do; make; to produce; be; to cook; write	0
系	系	系	xi4, ji4	xì, jì	be; relate to; system; fasten; department; faculty; connect | to tie	0
計	?	?	?	?	?	0
或	?	?	?	?	?	0
司	?	?	?	?	?	0
利	?	?	?	?	?	0
受	?	?	?	?	?	0
光	光	光	guang1	guāng	light; ray; bright; only; merely; used up	0
王	?	?	?	?	?	0
果	?	?	?	?	?	0
親	?	?	?	?	?	0
界	?	?	?	?	?	0
及	?	?	?	?	?	0
今	?	?	?	?	?	0
京	?	?	?	?	?	0
務	?	?	?	?	?	0
制	?	?	?	?	?	0
解	?	?	?	?	?	0
各	各	各	ge4	gè	each; every	0
任	?	?	?	?	?	0
至	?	?	?	?	?	0
清	?	?	?	?	?	0
物	?	?	?	?	?	0
台	台	台	tai2	tái	platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters)	0
象	?	?	?	?	?	0
記	?	?	?	?	?	0
邊	?	?	?	?	?	0
共	?	?	?	?	?	0
風	?	?	?	?	?	0
戰	?	?	?	?	?	0
干	乾	乾	gan1	gān	to concern; shield; dry; clean (Kangxi radical 51)	0
接	接	接	jie1	jiē	connect; to meet; to pick up (somebody); to receive	0
它	它	它	ta1	tā	it	0
許	?	?	?	?	?	0
八	八	八	ba1	bā	eight (Kangxi radical 12)	0
特	?	?	?	?	?	0
覺	?	?	?	?	?	0
望	?	?	?	?	?	0
直	直	直	zhi2	zhí	straight; vertical; frank; directly; continuously	0
服	?	?	?	?	?	0
毛	毛	毛	mao2	máo	hair; fur; feather; dime (Kangxi radical 82)	0
林	?	?	?	?	?	0
题	題	題	ti2	tí	topic; subject; question on a test or assignment	0
建	?	?	?	?	?	0
南	南	南	nan2	nán	South	0
度	?	?	?	?	?	0
統	?	?	?	?	?	0
色	?	?	?	?	?	0
字	字	字	zi4	zì	word; letter; character	0
请	請	請	qing3	qǐng	please; invite; to request | treat	0
交	交	交	jiao1	jiāo	deliver; turn over; intersect; to pay (money); friendship	0
爱	愛	愛	ai4	ài	love; affection; be fond of	0
让	讓	讓	rang4	ràng	ask; let; yield	0
認	?	?	?	?	?	0
算	?	?	?	?	?	0
論	?	?	?	?	?	0
佰	?	?	?	?	?	0
吃	吃	吃	chi1	chī	eat	0
義	?	?	?	?	?	0
科	?	?	?	?	?	0
怎	?	?	?	?	?	0
元	元	元	yuan2	yuán	Chinese monetary unit; dollar; first; principal	0
社	?	?	?	?	?	0
術	?	?	?	?	?	0
結	?	?	?	?	?	0
功	?	?	?	?	?	0
指	指	指	zhi3	zhǐ	finger; to point (at, to, out); refer to	0
思	?	?	?	?	?	0
非	非	非	fei1	fēi	non-; un-; not be; wrongdoing; simply must (Kangxi radical 175)	0
流	?	?	?	?	?	0
每	每	每	mei3	měi	each; every	0
青	青	青	qing1	qīng	blue; green; young (Kangxi radical 174); Qinghai province (abbr.)	0
管	?	?	?	?	?	0
夫	?	?	?	?	?	0
连	連	連	lian2	lián	even; including; join	0
远	遠	遠	yuan3	yuǎn	far; distant; remote	0
資	?	?	?	?	?	0
隊	?	?	?	?	?	0
跟	跟	跟	gen1	gēn	to follow; go with; heel	0
带	帶	帶	dai4	dài	band; belt; ribbon; carry; bring; take along; bring up (kids)	0
花	花	花	hua1	huā	flower; blossom; spend money; cost	0
快	快	快	kuai4	kuài	fast; quick; swift	0
条	條	條	tiao2	tiáo	strip; (mw for long thin objects); item	0
院	?	?	?	?	?	0
變	?	?	?	?	?	0
聯	?	?	?	?	?	0
言	?	?	?	?	?	0
權	?	?	?	?	?	0
往	往	往	wang3	wǎng	to go (in a direction); towards; in the past	0
展	?	?	?	?	?	0
該	?	?	?	?	?	0
領	?	?	?	?	?	0
傳	?	?	?	?	?	0
近	近	近	jin4	jìn	near; close (to)	0
留	留	留	liu2	liú	to leave (behind, a message); to retain; to stay	0
红	紅	紅	hong2	hóng	red; symbol of success; bonus; popular	0
治	?	?	?	?	?	0
決	?	?	?	?	?	0
周	?	?	?	?	?	0
保	?	?	?	?	?	0
達	?	?	?	?	?	0
辦	?	?	?	?	?	0
運	?	?	?	?	?	0
武	?	?	?	?	?	0
半	半	半	ban4	bàn	half; semi-; incomplete	0
候	?	?	?	?	?	0
七	七	七	qi1	qī	seven	0
必	?	?	?	?	?	0
城	?	?	?	?	?	0
父	?	?	?	?	?	0
強	?	?	?	?	?	0
步	?	?	?	?	?	0
完	完	完	wan2	wán	to finish; be over; complete	0
革	?	?	?	?	?	0
深	深	深	shen1	shēn	deep; profound; dark (of colors)	0
區	?	?	?	?	?	0
即	?	?	?	?	?	0
求	?	?	?	?	?	0
品	?	?	?	?	?	0
士	?	?	?	?	?	0
转	轉	轉	zhuan3, zhuan4	zhuǎn, zhuàn	to turn; to change; pass on | revolve; rotate	0
量	?	?	?	?	?	0
空	空	空	kong1, kong4	kōng, kòng	empty; sky | leave blank; leisure	0
眾	?	?	?	?	?	0
技	?	?	?	?	?	0
轻	輕	輕	qing1	qīng	light; easy; gentle; soft	0
程	?	?	?	?	?	0
告	?	?	?	?	?	0
江	?	?	?	?	?	0
語	?	?	?	?	?	0
英	?	?	?	?	?	0
基	?	?	?	?	?	0
派	派	派	pai4	pài	dispatch; (mw for political groups; schools of thought; etc.)	0
满	滿	滿	man3	mǎn	full; abbreviation for Manchurian	0
式	?	?	?	?	?	0
李	?	?	?	?	?	0
息	?	?	?	?	?	0
写	寫	寫	xie3	xiě	to write; to compose	0
呢	呢	呢	ne5	ne	(modal particle ending a question); how about...?; what about...?	0
識	?	?	?	?	?	0
极	極	極	ji2	jí	an extreme; pole; very	0
令	?	?	?	?	?	0
黃	?	?	?	?	?	0
德	?	?	?	?	?	0
收	收	收	shou1	shōu	receive; accept; collect; to harvest	0
脸	臉	臉	lian3	liǎn	face	0
钱	錢	錢	qian2	qián	money; coin	0
党	黨	黨	dang3	dǎng	party; club; association	0
倒	倒	倒	dao3, dao4	dǎo, dào	to collapse; to fall; fail; to exchange | to pour; contrary to expectations	0
未	?	?	?	?	?	0
持	?	?	?	?	?	0
取	取	取	qu3	qǔ	to take; get; choose	0
設	?	?	?	?	?	0
始	?	?	?	?	?	0
版	?	?	?	?	?	0
双	雙	雙	shuang1	shuāng	two; double; (mw for pairs)	0
歷	?	?	?	?	?	0
越	越	越	yue4	yuè	even more; the more; exceed	0
史	?	?	?	?	?	0
商	?	?	?	?	?	0
仟	?	?	?	?	?	0
片	片	片	pian4, pian1	piàn, piān	(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo	0
容	?	?	?	?	?	0
研	?	?	?	?	?	0
像	像	像	xiang4	xiàng	be like; resemble; appearance; appear	0
找	找	找	zhao3	zhǎo	try to find; look for; seek; to give change	0
友	?	?	?	?	?	0
孩	?	?	?	?	?	0
站	站	站	zhan4	zhàn	stand; a station; be on one's feet; service center	0
廣	?	?	?	?	?	0
改	?	?	?	?	?	0
議	?	?	?	?	?	0
形	?	?	?	?	?	0
委	?	?	?	?	?	0
早	?	?	?	?	?	0
房	?	?	?	?	?	0
音	?	?	?	?	?	0
火	火	火	huo3	huǒ	fire (Kangxi radical 86)	0
際	?	?	?	?	?	0
则	則	則	ze2	zé	standard; regulation; however; in that case	0
首	首	首	shou3	shǒu	head; chief; first; (mw for poems and songs) (Kangxi radical 185)	0
單	?	?	?	?	?	0
據	?	?	?	?	?	0
導	?	?	?	?	?	0
影	?	?	?	?	?	0
失	?	?	?	?	?	0
拿	拿	拿	na2	ná	carry in your hand; seize; to catch	0
網	?	?	?	?	?	0
香	香	香	xiang1	xiāng	fragrant; savory (Kangxi radical 186)	0
似	?	?	?	?	?	0
斯	?	?	?	?	?	0
專	?	?	?	?	?	0
石	?	?	?	?	?	0
若	?	?	?	?	?	0
兵	?	?	?	?	?	0
弟	?	?	?	?	?	0
谁	誰	誰	shei2	shéi	who	0
校	?	?	?	?	?	0
读	讀	讀	du2	dú	to read; to study	0
志	?	?	?	?	?	0
飛	?	?	?	?	?	0
觀	?	?	?	?	?	0
爭	?	?	?	?	?	0
究	?	?	?	?	?	0
包	包	包	bao1	bāo	to cover; to wrap; to hold; include; (mw for containers, packages, etc.)	0
组	組	組	zu3	zǔ	compose; team up; group	0
造	?	?	?	?	?	0
落	?	?	?	?	?	0
視	?	?	?	?	?	0
濟	?	?	?	?	?	0
喜	?	?	?	?	?	0
离	離	離	li2	lí	leave; depart; go away; apart from	0
雖	?	?	?	?	?	0
坐	坐	坐	zuo4	zuò	sit; take a seat	0
集	?	?	?	?	?	0
編	?	?	?	?	?	0
寶	?	?	?	?	?	0
谈	談	談	tan2	tán	to talk; to chat; discuss	0
府	?	?	?	?	?	0
拉	拉	拉	la1	lā	to pull; to play (string instruments); to drag	0
黑	黑	黑	hei1	hēi	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)	0
且	?	?	?	?	?	0
隨	?	?	?	?	?	0
格	?	?	?	?	?	0
盡	?	?	?	?	?	0
剑	劍	劍	jian4	jiàn	sword	0
讲	講	講	jiang3	jiǎng	to talk; to lecture; to explain; a speech	0
布	布	布	bu4	bù	cloth; announce; to spread	0
杀	殺	殺	sha1	shā	to kill; to murder	0
微	?	?	?	?	?	0
怕	?	?	?	?	?	0
母	?	?	?	?	?	0
調	?	?	?	?	?	0
局	?	?	?	?	?	0
根	根	根	gen1	gēn	root; base; (mw for long, slender objects)	0
曾	?	?	?	?	?	0
准	?	?	?	?	?	0
团	團	團	tuan2	tuán	round; ball; group; unite; dumpling; (mw for ball-like things)	0
段	段	段	duan4	duàn	paragraph; segment; section	0
終	?	?	?	?	?	0
